Record_ID,Date,Day,Day_Name,Week_Number,Month,Month_Number,Analysis_Period,State,Platform,Official_Handle_Model,Conversation_Count,Official_Post_Count,Likes_Modelled,Comments_Modelled,Shares_Modelled,Views_Modelled,Topic,News_or_Content_Driver,Positive_Percent,Neutral_Percent,Negative_Percent,Dominant_Sentiment,Geographic_Attribution_Method,Geo_Confidence_Level,Data_Type
DC2026-00011,2026-07-01,1,Wednesday,27,July,7,July 2026,Bihar,Instagram,@indianarmy.adgpi,160,3,1424,65,43,6896,"Gallantry, Heritage and National Pride",Routine modelled public conversation around Indian Army content,67.5,21.2,11.3,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00012,2026-07-01,1,Wednesday,27,July,7,July 2026,Bihar,Facebook,Indian Army,130,3,608,85,45,3391,Community Outreach and Civil Support,Routine modelled public conversation around Indian Army content,61.6,26.3,12.1,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00013,2026-07-01,1,Wednesday,27,July,7,July 2026,Chhattisgarh,X (Twitter),@adgpi,117,2,229,37,44,2018,"Gallantry, Heritage and National Pride",Routine modelled public conversation around Indian Army content,67.4,19.8,12.8,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00014,2026-07-01,1,Wednesday,27,July,7,July 2026,Chhattisgarh,Instagram,@indianarmy.adgpi,129,2,1624,74,16,5562,Community Outreach and Civil Support,Routine modelled public conversation around Indian Army content,74.2,11.7,14.1,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00015,2026-07-01,1,Wednesday,27,July,7,July 2026,Chhattisgarh,Facebook,Indian Army,97,3,390,59,62,3452,"Adventure, Sports and Youth Engagement",Routine modelled public conversation around Indian Army content,79.9,15.0,5.1,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00016,2026-07-01,1,Wednesday,27,July,7,July 2026,Goa,X (Twitter),@adgpi,84,4,418,47,38,1328,Community Outreach and Civil Support,Routine modelled public conversation around Indian Army content,79.8,5.2,15.0,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00017,2026-07-01,1,Wednesday,27,July,7,July 2026,Goa,Instagram,@indianarmy.adgpi,90,1,990,60,11,3914,"Adventure, Sports and Youth Engagement",Routine modelled public conversation around Indian Army content,59.0,27.6,13.4,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00018,2026-07-01,1,Wednesday,27,July,7,July 2026,Goa,Facebook,Indian Army,83,3,405,50,31,1387,Training and Military Readiness,Routine modelled public conversation around Indian Army content,61.8,25.5,12.7,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00019,2026-07-01,1,Wednesday,27,July,7,July 2026,Gujarat,X (Twitter),@adgpi,93,5,344,28,61,1988,"Adventure, Sports and Youth Engagement",Routine modelled public conversation around Indian Army content,78.2,15.7,6.1,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00020,2026-07-01,1,Wednesday,27,July,7,July 2026,Gujarat,Instagram,@indianarmy.adgpi,122,1,1069,73,20,4573,Training and Military Readiness,Routine modelled public conversation around Indian Army content,60.7,27.4,11.9,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00021,2026-07-01,1,Wednesday,27,July,7,July 2026,Gujarat,Facebook,Indian Army,78,2,576,51,38,1221,Recruitment and Agniveer Outreach,Routine modelled public conversation around Indian Army content,74.7,12.0,13.3,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00022,2026-07-01,1,Wednesday,27,July,7,July 2026,Haryana,X (Twitter),@adgpi,196,5,917,69,107,4932,Training and Military Readiness,Routine modelled public conversation around Indian Army content,61.6,23.9,14.5,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00023,2026-07-01,1,Wednesday,27,July,7,July 2026,Haryana,Instagram,@indianarmy.adgpi,247,2,3154,178,23,15644,Recruitment and Agniveer Outreach,Routine modelled public conversation around Indian Army content,77.5,17.6,4.9,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00024,2026-07-01,1,Wednesday,27,July,7,July 2026,Haryana,Facebook,Indian Army,150,5,1031,41,33,5336,Humanitarian Assistance and Disaster Relief,Routine modelled public conversation around Indian Army content,62.8,26.2,11.0,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00025,2026-07-01,1,Wednesday,27,July,7,July 2026,Himachal Pradesh,X (Twitter),@adgpi,141,1,747,77,73,3823,Recruitment and Agniveer Outreach,Routine modelled public conversation around Indian Army content,73.4,22.3,4.3,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00026,2026-07-01,1,Wednesday,27,July,7,July 2026,Himachal Pradesh,Instagram,@indianarmy.adgpi,132,1,1309,75,19,8653,Humanitarian Assistance and Disaster Relief,Routine modelled public conversation around Indian Army content,61.6,28.0,10.4,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00027,2026-07-01,1,Wednesday,27,July,7,July 2026,Himachal Pradesh,Facebook,Indian Army,100,1,454,64,38,3337,Border Security and Strategic Deployment,Routine modelled public conversation around Indian Army content,60.2,29.4,10.4,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00028,2026-07-01,1,Wednesday,27,July,7,July 2026,Jharkhand,X (Twitter),@adgpi,147,3,807,60,95,3520,Humanitarian Assistance and Disaster Relief,Routine modelled public conversation around Indian Army content,66.0,28.4,5.6,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00029,2026-07-01,1,Wednesday,27,July,7,July 2026,Jharkhand,Instagram,@indianarmy.adgpi,181,4,2304,106,43,8870,Border Security and Strategic Deployment,Routine modelled public conversation around Indian Army content,73.2,16.5,10.3,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00030,2026-07-01,1,Wednesday,27,July,7,July 2026,Jharkhand,Facebook,Indian Army,145,3,1024,55,80,5123,Technology and Modernisation,Routine modelled public conversation around Indian Army content,64.0,24.9,11.1,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00031,2026-07-01,1,Wednesday,27,July,7,July 2026,Karnataka,X (Twitter),@adgpi,141,1,531,34,45,2865,Border Security and Strategic Deployment,Routine modelled public conversation around Indian Army content,63.3,20.8,15.9,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00032,2026-07-01,1,Wednesday,27,July,7,July 2026,Karnataka,Instagram,@indianarmy.adgpi,117,2,1080,91,17,8347,Technology and Modernisation,Routine modelled public conversation around Indian Army content,69.7,19.4,10.9,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00033,2026-07-01,1,Wednesday,27,July,7,July 2026,Karnataka,Facebook,Indian Army,114,4,411,43,72,3316,"Gallantry, Heritage and National Pride",Routine modelled public conversation around Indian Army content,75.2,13.8,11.0,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00034,2026-07-01,1,Wednesday,27,July,7,July 2026,Kerala,X (Twitter),@adgpi,121,4,319,41,78,3328,Technology and Modernisation,Routine modelled public conversation around Indian Army content,74.2,16.5,9.3,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00035,2026-07-01,1,Wednesday,27,July,7,July 2026,Kerala,Instagram,@indianarmy.adgpi,158,4,1866,55,37,8734,"Gallantry, Heritage and National Pride",Routine modelled public conversation around Indian Army content,74.2,10.3,15.5,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00036,2026-07-01,1,Wednesday,27,July,7,July 2026,Kerala,Facebook,Indian Army,85,2,570,30,17,3097,Community Outreach and Civil Support,Routine modelled public conversation around Indian Army content,77.1,9.1,13.8,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00037,2026-07-01,1,Wednesday,27,July,7,July 2026,Madhya Pradesh,X (Twitter),@adgpi,92,1,433,33,67,1666,"Gallantry, Heritage and National Pride",Routine modelled public conversation around Indian Army content,63.4,30.7,5.9,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00038,2026-07-01,1,Wednesday,27,July,7,July 2026,Madhya Pradesh,Instagram,@indianarmy.adgpi,92,2,1197,56,15,6763,Community Outreach and Civil Support,Routine modelled public conversation around Indian Army content,68.2,25.8,6.0,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00039,2026-07-01,1,Wednesday,27,July,7,July 2026,Madhya Pradesh,Facebook,Indian Army,91,5,390,50,45,2480,"Adventure, Sports and Youth Engagement",Routine modelled public conversation around Indian Army content,65.6,20.4,14.0,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00040,2026-07-01,1,Wednesday,27,July,7,July 2026,Maharashtra,X (Twitter),@adgpi,186,4,888,115,127,1722,Community Outreach and Civil Support,Routine modelled public conversation around Indian Army content,73.5,19.1,7.4,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00041,2026-07-01,1,Wednesday,27,July,7,July 2026,Maharashtra,Instagram,@indianarmy.adgpi,242,4,2088,191,58,8607,"Adventure, Sports and Youth Engagement",Routine modelled public conversation around Indian Army content,75.9,16.1,8.0,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00042,2026-07-01,1,Wednesday,27,July,7,July 2026,Maharashtra,Facebook,Indian Army,157,2,914,90,72,5861,Training and Military Readiness,Routine modelled public conversation around Indian Army content,72.5,21.9,5.6,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00043,2026-07-01,1,Wednesday,27,July,7,July 2026,Manipur,X (Twitter),@adgpi,129,1,503,30,55,2764,"Adventure, Sports and Youth Engagement",Routine modelled public conversation around Indian Army content,69.0,18.5,12.5,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00044,2026-07-01,1,Wednesday,27,July,7,July 2026,Manipur,Instagram,@indianarmy.adgpi,126,5,1650,45,31,7426,Training and Military Readiness,Routine modelled public conversation around Indian Army content,81.9,6.9,11.2,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00045,2026-07-01,1,Wednesday,27,July,7,July 2026,Manipur,Facebook,Indian Army,79,3,380,54,23,1291,Recruitment and Agniveer Outreach,Routine modelled public conversation around Indian Army content,75.0,10.8,14.2,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00046,2026-07-01,1,Wednesday,27,July,7,July 2026,Meghalaya,X (Twitter),@adgpi,188,3,570,105,168,4243,Training and Military Readiness,Routine modelled public conversation around Indian Army content,59.3,23.9,16.8,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00047,2026-07-01,1,Wednesday,27,July,7,July 2026,Meghalaya,Instagram,@indianarmy.adgpi,175,3,2085,87,24,9520,Recruitment and Agniveer Outreach,Routine modelled public conversation around Indian Army content,67.6,20.6,11.8,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00048,2026-07-01,1,Wednesday,27,July,7,July 2026,Meghalaya,Facebook,Indian Army,132,5,548,43,31,4849,Humanitarian Assistance and Disaster Relief,Routine modelled public conversation around Indian Army content,81.3,7.6,11.1,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00049,2026-07-01,1,Wednesday,27,July,7,July 2026,Mizoram,X (Twitter),@adgpi,83,4,431,35,65,1371,Recruitment and Agniveer Outreach,Routine modelled public conversation around Indian Army content,79.2,6.4,14.4,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00050,2026-07-01,1,Wednesday,27,July,7,July 2026,Mizoram,Instagram,@indianarmy.adgpi,79,3,825,33,7,4338,Humanitarian Assistance and Disaster Relief,Routine modelled public conversation around Indian Army content,76.7,9.6,13.7,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00051,2026-07-01,1,Wednesday,27,July,7,July 2026,Mizoram,Facebook,Indian Army,57,2,241,19,34,967,Border Security and Strategic Deployment,Routine modelled public conversation around Indian Army content,60.9,30.7,8.4,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00052,2026-07-01,1,Wednesday,27,July,7,July 2026,Nagaland,X (Twitter),@adgpi,77,4,149,59,38,1398,Humanitarian Assistance and Disaster Relief,Routine modelled public conversation around Indian Army content,69.4,20.1,10.5,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00053,2026-07-01,1,Wednesday,27,July,7,July 2026,Nagaland,Instagram,@indianarmy.adgpi,101,4,878,49,25,5055,Border Security and Strategic Deployment,Routine modelled public conversation around Indian Army content,72.7,13.6,13.7,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00054,2026-07-01,1,Wednesday,27,July,7,July 2026,Nagaland,Facebook,Indian Army,70,4,470,27,24,1166,Technology and Modernisation,Routine modelled public conversation around Indian Army content,71.2,23.7,5.1,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00055,2026-07-01,1,Wednesday,27,July,7,July 2026,Odisha,X (Twitter),@adgpi,124,2,588,79,98,2831,Border Security and Strategic Deployment,Routine modelled public conversation around Indian Army content,65.4,19.8,14.8,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00056,2026-07-01,1,Wednesday,27,July,7,July 2026,Odisha,Instagram,@indianarmy.adgpi,157,2,1621,122,37,7420,Technology and Modernisation,Routine modelled public conversation around Indian Army content,63.8,28.8,7.4,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00057,2026-07-01,1,Wednesday,27,July,7,July 2026,Odisha,Facebook,Indian Army,100,3,533,41,61,2952,"Gallantry, Heritage and National Pride",Routine modelled public conversation around Indian Army content,74.4,10.0,15.6,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00058,2026-07-01,1,Wednesday,27,July,7,July 2026,Punjab,X (Twitter),@adgpi,209,5,598,158,79,2511,Technology and Modernisation,Routine modelled public conversation around Indian Army content,81.6,8.2,10.2,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00059,2026-07-01,1,Wednesday,27,July,7,July 2026,Punjab,Instagram,@indianarmy.adgpi,284,4,3754,223,35,15174,"Gallantry, Heritage and National Pride",Routine modelled public conversation around Indian Army content,76.5,18.5,5.0,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00060,2026-07-01,1,Wednesday,27,July,7,July 2026,Punjab,Facebook,Indian Army,196,3,1242,97,56,2958,Community Outreach and Civil Support,Routine modelled public conversation around Indian Army content,72.5,22.0,5.5,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00061,2026-07-01,1,Wednesday,27,July,7,July 2026,Rajasthan,X (Twitter),@adgpi,178,3,331,57,83,3450,"Gallantry, Heritage and National Pride",Routine modelled public conversation around Indian Army content,69.9,19.1,11.0,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00062,2026-07-01,1,Wednesday,27,July,7,July 2026,Rajasthan,Instagram,@indianarmy.adgpi,256,5,2824,99,20,14611,Community Outreach and Civil Support,Routine modelled public conversation around Indian Army content,79.9,7.7,12.4,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00063,2026-07-01,1,Wednesday,27,July,7,July 2026,Rajasthan,Facebook,Indian Army,195,2,1314,131,90,7139,"Adventure, Sports and Youth Engagement",Routine modelled public conversation around Indian Army content,63.4,28.6,8.0,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00064,2026-07-01,1,Wednesday,27,July,7,July 2026,Sikkim,X (Twitter),@adgpi,168,2,563,132,111,2164,Community Outreach and Civil Support,Routine modelled public conversation around Indian Army content,58.1,32.4,9.5,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00065,2026-07-01,1,Wednesday,27,July,7,July 2026,Sikkim,Instagram,@indianarmy.adgpi,182,2,1658,111,42,7997,"Adventure, Sports and Youth Engagement",Routine modelled public conversation around Indian Army content,73.4,10.2,16.4,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00066,2026-07-01,1,Wednesday,27,July,7,July 2026,Sikkim,Facebook,Indian Army,121,3,893,78,30,2550,Training and Military Readiness,Routine modelled public conversation around Indian Army content,75.2,9.3,15.5,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00067,2026-07-01,1,Wednesday,27,July,7,July 2026,Tamil Nadu,X (Twitter),@adgpi,183,1,548,97,68,3617,"Adventure, Sports and Youth Engagement",Routine modelled public conversation around Indian Army content,67.6,19.8,12.6,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00068,2026-07-01,1,Wednesday,27,July,7,July 2026,Tamil Nadu,Instagram,@indianarmy.adgpi,228,5,2796,111,39,13935,Training and Military Readiness,Routine modelled public conversation around Indian Army content,75.1,20.6,4.3,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00069,2026-07-01,1,Wednesday,27,July,7,July 2026,Tamil Nadu,Facebook,Indian Army,131,4,743,57,75,2449,Recruitment and Agniveer Outreach,Routine modelled public conversation around Indian Army content,80.8,11.3,7.9,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00070,2026-07-01,1,Wednesday,27,July,7,July 2026,Telangana,X (Twitter),@adgpi,111,4,596,25,63,1229,Training and Military Readiness,Routine modelled public conversation around Indian Army content,59.3,36.5,4.2,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
